PedidoID,CategoriaID,CategoriaNome,CategoriaDescricao,ClienteID,ClienteNome,ClienteContato,ClienteCidade,ClientePaisID,ClientePais,Vendas Custo,Margem Bruta,Vendas,Desconto,Frete,Qtde,Data,VendedorID,ProdutoID,ProdutoNome,TransportadoraID,FornecedorID
10413,1,Men´s Clothes,Fashion for Men,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"417,5107","86,73","504,24","0,00","64,69",24,20/10/2010,5,1,Lenin Jeansshorts,1,1
10500,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"63,8885","17,13","81,02","3,86","53,28",12,14/04/2011,5,15,Sumi Underwear,1,6
10832,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"961,5917","346,70","1308,29","218,05","30,97",16,19/11/2011,5,44,Okkaba Skin Jackets,1,20
10923,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"1354,117","488,22","1842,34","307,06","76,90",24,05/06/2012,4,67,X-Dress,1,16
10413,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"4810,2163","999,22","5809,44","0,00","64,69",14,20/10/2010,5,76,Minnki Pälsii,1,23
10425,2,Womens wear,Fashion for Women,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"5985,2808","3050,47","9035,75","1807,15","23,12",20,30/09/2010,4,76,Minnki Pälsii,1,23
10832,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"121,716","43,88","165,60","27,60","30,97",10,19/11/2011,5,25,Basket Vest,1,11
10425,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"298,4112","152,09","450,50","90,10","23,12",10,30/09/2010,4,55,Feiss Fleece Trousers,1,25
10413,3,Sportwear,Sports…,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"1005,8544","208,95","1214,80","0,00","64,69",40,20/10/2010,5,62,Sheat Shoes,1,29
10923,4,Bath Clothes,Beachwear,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"113,2488","40,83","154,08","25,68","76,90",10,05/06/2012,4,43,Summer Shorts,1,20
10832,5,Ladies´Footwear,Ladies Shoes,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"87,4768","11,70","99,18","0,00","30,97",3,19/11/2011,5,64,WFS shoes,1,12
10923,5,Ladies´Footwear,Ladies Shoes,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"116,424","41,98","158,40","26,40","76,90",10,05/06/2012,4,42,Balett Shoes,1,20
10500,7,Children´s wear,3-15 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"310,7981","83,33","394,13","18,77","53,28",8,14/04/2011,5,28,RDL Suit,1,12
10371,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"40,2797","15,66","55,94","9,32","66,09",6,09/10/2009,4,36,Mehmet-Tröja,1,17
10832,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"67,7376","24,42","92,16","15,36","30,97",3,19/11/2011,5,13,Aino Shoes,1,6
10610,8,Babywear,0-3 Years,41,Elle Fashion & Design,Louise Davu,Toulouse,FRA,France,"128,9358","70,04","198,98","39,80","67,44",21,30/05/2011,4,36,Mehmet-Tröja,1,17
10806,1,Men´s Clothes,Fashion for Men,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"308,772","167,73","476,50","95,30","38,16",20,05/11/2012,4,2,Mr X Trousers,1,1
10850,1,Men´s Clothes,Fashion for Men,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"711,5094","216,20","927,71","121,01","58,80",30,28/11/2011,4,70,US-Master Jeans,1,7
10806,2,Womens wear,Fashion for Women,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"15,3414","3,60","18,94","0,00","38,16",2,05/11/2012,4,65,Stretch oui-pants,1,2
10850,3,Sportwear,Sports…,84,Art et Fashion,Pierre Robert,Lyon,FRA,France,"92,9275","28,24","121,16","15,80","58,80",4,28/11/2011,4,33,Car Boots,1,15
